time[d]	beta1			beta2			beta3			beta4			beta5			beta6			ngt[s^-1]		fuel_tmp_coeff[pcm/dk]	mod_tmp_coeff[pcm/dk]
0.0		2.061760E-04	1.140360E-03	1.081370E-03	3.060860E-03	9.097140E-04	2.759040E-04	4.430560E-04	-2.9550685652121347	-0.8902186954229654
371.0	2.040110E-04	1.094480E-03	1.011070E-03	3.001120E-03	8.750600E-04	2.704010E-04	4.336470E-04	-3.59272203712799	-1.9767300874370748
401.0	1.980690E-04	1.067970E-03	1.045030E-03	3.046990E-03	8.787210E-04	2.901670E-04	4.340720E-04	-3.692550286987728	-1.4816520309042371
431.0	2.100190E-04	1.049950E-03	1.109750E-03	3.001810E-03	9.060070E-04	3.098280E-04	4.340450E-04	-2.9160749872512857	-3.0777692327839876
461.0	2.235440E-04	1.025300E-03	1.042080E-03	3.114440E-03	9.144880E-04	3.256890E-04	4.336510E-04	-2.5693881533900265	-2.222370008740016
491.0	2.095330E-04	1.103930E-03	1.092910E-03	2.930020E-03	8.760220E-04	2.867750E-04	4.331270E-04	-2.7738837790324338	-3.1805893749968153
521.0	2.088350E-04	1.120380E-03	1.105490E-03	2.981600E-03	8.852030E-04	3.049900E-04	4.341470E-04	-3.0353754350721776	-2.2526456633555627
551.0	2.072350E-04	1.058540E-03	1.087240E-03	2.949140E-03	9.012720E-04	3.268130E-04	4.327180E-04	-2.2235665764210277	-1.7368933031375975
581.0	2.267560E-04	1.113110E-03	1.097490E-03	3.062060E-03	9.056510E-04	3.229800E-04	4.328920E-04	-1.903021313539303	-1.0996524741045521
611.0	2.018210E-04	1.067060E-03	1.025930E-03	2.933050E-03	8.603220E-04	3.076770E-04	4.344920E-04	-2.5514841891666302	-1.5137421650178782
641.0	1.963250E-04	1.093440E-03	1.050340E-03	3.033330E-03	8.739460E-04	3.086240E-04	4.329720E-04	-1.196876790808534	-1.9927171075150854
671.0	2.035490E-04	1.072230E-03	1.011110E-03	3.061340E-03	8.323130E-04	3.174390E-04	4.334060E-04	-2.6754924170642864	-2.1213495754145923
701.0	1.841320E-04	1.113260E-03	1.107650E-03	3.065320E-03	9.143200E-04	3.504070E-04	4.343460E-04	-2.5625720803657877	-1.9691374293530637
731.0	2.197030E-04	1.086300E-03	1.114100E-03	3.076290E-03	9.020870E-04	3.340190E-04	4.330980E-04	-2.038648378771005	-2.194822027423561
761.0	2.014160E-04	1.051780E-03	1.061280E-03	3.011710E-03	8.778090E-04	3.637360E-04	4.342680E-04	-2.868498843551412	-1.2703510734450638
791.0	2.518120E-04	1.035950E-03	1.139350E-03	3.090540E-03	8.991870E-04	2.951480E-04	4.343530E-04	-2.819592393258173	-1.9157817193171256
821.0	2.223750E-04	1.030670E-03	1.119940E-03	2.998550E-03	8.966580E-04	3.171140E-04	4.327510E-04	-2.4868700788420357	-2.3963929489056985
851.0	2.262370E-04	1.142320E-03	1.033230E-03	2.950100E-03	8.564980E-04	3.432980E-04	4.336550E-04	-2.742045478753555	-1.3531866222369
881.0	2.096460E-04	1.090770E-03	1.068850E-03	2.916960E-03	8.118600E-04	3.098370E-04	4.333950E-04	-2.6728021989004005	-1.7400275513366716
911.0	2.031300E-04	1.101390E-03	1.016410E-03	3.049520E-03	8.771760E-04	2.974040E-04	4.334970E-04	-2.5067917927578702	-2.4495419557857376
941.0	1.914330E-04	1.108200E-03	1.045280E-03	2.925980E-03	8.465800E-04	3.286150E-04	4.354880E-04	-3.5939874201845825	-2.3699183384627434
971.0	2.323210E-04	1.020540E-03	9.972430E-04	3.082210E-03	9.663680E-04	2.806030E-04	4.338500E-04	-3.0642299165272173	-2.4953671847199885
1001.0	1.923310E-04	1.093440E-03	1.016620E-03	3.058680E-03	8.577430E-04	2.925600E-04	4.336070E-04	-2.3990675567848934	-1.787820229297173
1031.0	2.202700E-04	1.113400E-03	1.063790E-03	2.973330E-03	9.155460E-04	3.044260E-04	4.327940E-04	-2.2025324914704454	-1.882684994031279
1061.0	2.246940E-04	1.053920E-03	1.045630E-03	3.079960E-03	9.024240E-04	3.089210E-04	4.327680E-04	-2.3758601004624396	-2.817864116901115
1091.0	2.208110E-04	1.079950E-03	1.027640E-03	3.003250E-03	8.659210E-04	3.214990E-04	4.338520E-04	-1.7743868048031741	-1.7999113358225747
1121.0	2.128630E-04	1.070400E-03	1.054460E-03	3.052160E-03	8.960450E-04	3.577180E-04	4.315060E-04	-1.9268041577691184	-2.582025230755228
1151.0	2.295870E-04	1.118540E-03	1.154820E-03	3.024640E-03	8.542260E-04	3.091140E-04	4.341190E-04	-2.230336478361455	-1.348239852340313
1181.0	1.968900E-04	1.101230E-03	1.030490E-03	3.017780E-03	9.273190E-04	3.160950E-04	4.312660E-04	-0.9797578543732973	-1.2916204265491333
1211.0	2.342300E-04	1.103690E-03	1.067750E-03	3.012460E-03	8.538640E-04	3.392650E-04	4.329210E-04	-3.448261297650888	-1.7837356919857918
1241.0	2.220590E-04	1.092730E-03	1.035920E-03	2.980380E-03	8.721850E-04	3.530500E-04	4.343070E-04	-3.224254143981385	-1.8495938573695923
1271.0	2.099520E-04	1.146730E-03	9.894250E-04	2.971700E-03	8.787030E-04	3.129780E-04	4.340920E-04	-3.344984082623455	-2.9376627910519266
1301.0	1.941410E-04	1.177310E-03	1.060710E-03	3.090060E-03	8.861160E-04	3.117070E-04	4.330900E-04	-1.5693977133922774	-2.914610917783309
1331.0	2.293580E-04	1.118690E-03	1.099530E-03	3.035380E-03	8.359520E-04	3.125920E-04	4.333980E-04	-1.7667650884192427	-0.9638509991369418
1361.0	2.039510E-04	1.084910E-03	1.010540E-03	2.967810E-03	8.626780E-04	3.313420E-04	4.348950E-04	-2.5689098333393092	-2.2058841665227087
1391.0	2.267170E-04	1.069070E-03	1.048930E-03	2.891190E-03	8.832470E-04	3.213730E-04	4.338860E-04	-2.3738409407641297	-1.7889171416624172
1421.0	2.150850E-04	1.071360E-03	1.069260E-03	3.090380E-03	9.307710E-04	3.193660E-04	4.341310E-04	-3.1891165943453372	-2.423900456943155
1451.0	2.233360E-04	1.097090E-03	1.056980E-03	3.039240E-03	9.160430E-04	3.195320E-04	4.342200E-04	-2.302614688122611	-1.6656525452880355
